source_key	output_id	category	author	title	landing_url	direct_url	license	flags
forest_stream	forest_stream	nature	Joseph Sardin	Forest and stream 1	https://bigsoundbank.com/forest-and-stream-1-s2713.html	https://bigsoundbank.com/UPLOAD/bwf-en/2713.wav	CC0-1.0	original_bwf,clean_loop
ocean_waves	ocean_waves	nature	Joseph Sardin	Sea waves	https://bigsoundbank.com/sea-waves-s0266.html	https://bigsoundbank.com/UPLOAD/bwf-en/0266.wav	CC0-1.0	original_bwf,clean_loop
quiet_lake	quiet_lake	nature	Joseph Sardin	Pond in a field	https://bigsoundbank.com/pond-in-a-field-s0691.html	https://bigsoundbank.com/UPLOAD/bwf-en/0691.wav	CC0-1.0	original_bwf,clean_loop
wind_in_pines	wind_in_pines	nature	Joseph Sardin	Forest wind in the trees	https://bigsoundbank.com/forest-wind-in-the-trees-s0904.html	https://bigsoundbank.com/UPLOAD/bwf-en/0904.wav	CC0-1.0	original_bwf,clean_loop
night_crickets	night_crickets	nature	Joseph Sardin	Song of nocturnal insect 2	https://bigsoundbank.com/song-of-nocturnal-insect-2-s0425.html	https://bigsoundbank.com/UPLOAD/bwf-en/0425.wav	CC0-1.0	original_bwf,clean_loop
campfire	campfire	nature	Joseph Sardin	Big branching fire 1	https://bigsoundbank.com/big-branching-fire-1-s0987.html	https://bigsoundbank.com/UPLOAD/bwf-en/0987.wav	CC0-1.0	original_bwf,clean_loop
fireplace	fireplace	cozy	Joseph Sardin	Fireplace 5	https://bigsoundbank.com/fireplace-5-s2857.html	https://bigsoundbank.com/UPLOAD/bwf-en/2857.wav	CC0-1.0	original_bwf,clean_loop
cat_purring	cat_purring	cozy	Joseph Sardin	Cat purring 3	https://bigsoundbank.com/cat-purring-3-s1010.html	https://bigsoundbank.com/UPLOAD/bwf-en/1010.wav	CC0-1.0	original_bwf,loop_crossfade
aquarium	aquarium	cozy	fonografico	aquarium.ogg	https://freesound.org/people/fonografico/sounds/636123	https://cdn.freesound.org/previews/636/636123_11705708-hq.mp3	CC0-1.0	clean_loop
ceiling_fan	ceiling_fan	cozy	Joseph Sardin	Electric fan 1	https://bigsoundbank.com/electric-fan-1-s0078.html	https://bigsoundbank.com/UPLOAD/bwf-en/0078.wav	CC0-1.0	original_bwf,clean_loop
vinyl_crackle	vinyl_crackle	cozy	Joseph Sardin	Vinyl disc	https://bigsoundbank.com/vinyl-disc-s2547.html	https://bigsoundbank.com/UPLOAD/bwf-en/2547.wav	CC0-1.0	original_bwf,clean_loop
next_room	next_room	cozy	Joseph Sardin	Paris apartment, closed window	https://bigsoundbank.com/paris-apartment-closed-window-s0080.html	https://bigsoundbank.com/UPLOAD/bwf-en/0080.wav	CC0-1.0	original_bwf,clean_loop
night_train	night_train	travel	Yoyodaman234	train interior ambience 1a	https://freesound.org/people/Yoyodaman234/sounds/341208	https://cdn.freesound.org/previews/341/341208_2792951-hq.mp3	CC0-1.0	clean_loop
airplane_cabin	airplane_cabin	travel	Kinoton	Airliner, Jet, Interior Ambience, Idle in flight	https://freesound.org/people/Kinoton/sounds/438972	https://cdn.freesound.org/previews/438/438972_2247456-hq.mp3	CC0-1.0	trim_required,speech_audit
car_in_rain	car_in_rain	travel	Joseph Sardin	Rain on car windshield	https://bigsoundbank.com/rain-on-car-windshield-s1295.html	https://bigsoundbank.com/UPLOAD/bwf-en/1295.wav	CC0-1.0	original_bwf,clean_loop
ferry_cabin	ferry_cabin	travel	blaukreuz	170722_MediumFerry_BelowDeck_F.wav	https://freesound.org/people/blaukreuz/sounds/398850	https://cdn.freesound.org/previews/398/398850_623488-hq.mp3	CC0-1.0	clean_loop
city_tram	city_tram	travel	melbourne.atmospheres	Melbourne Onboard Tram Interior Elizabeth Street Ambience	https://freesound.org/people/melbourne.atmospheres/sounds/582252	https://cdn.freesound.org/previews/582/582252_13141607-hq.mp3	CC0-1.0	trim_required,speech_audit
orbital_station	orbital_station	travel	db3005	Space Station Drone	https://freesound.org/people/db3005/sounds/686237	https://cdn.freesound.org/previews/686/686237_9621730-hq.mp3	CC0-1.0	downloaded_designed_sound
